sample_ID,extraction_ID,seq_date,sample_type,station,collection_year,collection_month,collection_day,location1,longitude,latitude,depth
e01737,e01737,20241219,sample,aquaria,NA,NA,NA,NA,NA,NA,NA
e01738,e01738,20241219,sample,aquaria,NA,NA,NA,NA,NA,NA,NA
e01741,e01741,20241219,sample,aquaria,NA,NA,NA,NA,NA,NA,NA
ABLG4670,ABLG4670,20241219,tissue,NA,NA,NA,NA,NA,NA,NA,NA
ABLG8566,ABLG8566,20241219,tissue,NA,NA,NA,NA,NA,NA,NA,NA
ABLG9486,ABLG9486,20241219,tissue,NA,NA,NA,NA,NA,NA,NA,NA
e02339,e02339,20241219,sample,120,2022,7,12,Aleutian Islands,-178.0768,51.44577,44.3
e02298,e02298,20241219,sample,99,2022,7,5,Aleutian Islands,-177.0133,51.54838,92
e02261,e02261,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
PC,PC,20241219,positive,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC,20241219,pcr_blank,NA,NA,NA,NA,NA,NA,NA,NA
all_even_A,all_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
os_even_A,os_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
os_skew_A,os_skew,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
ns_even_A,ns_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
all_even_B,all_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
os_even_B,os_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
os_skew_B,os_skew,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
ns_even_B,ns_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
all_even_C,all_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
os_even_C,os_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
os_skew_C,os_skew,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
ns_even_C,ns_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
34137,34137,20241219,tissue,NA,NA,NA,NA,NA,NA,NA,NA
34138,34138,20241219,tissue,NA,NA,NA,NA,NA,NA,NA,NA
34139,34139,20241219,tissue,NA,NA,NA,NA,NA,NA,NA,NA
34140,34140,20241219,tissue,NA,NA,NA,NA,NA,NA,NA,NA
e02250_A,e02250,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02251_A,e02251,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02252_A,e02252,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02253_A,e02253,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02254_A,e02254,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02255_A,e02255,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02256_A,e02256,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02257_A,e02257,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02258_A,e02258,20241219,field_blank,152 C,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02259_A,e02259,20241219,extraction_blank,,,,,,,,
e02260_A,e02260,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02261_A,e02261,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02262_A,e02262,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02263_A,e02263,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02264_A,e02264,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02265_A,e02265,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02266_A,e02266,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02267_A,e02267,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02268_A,e02268,20241219,field_blank,90 C,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02269_A,e02269,20241219,extraction_blank,,,,,,,,
e02270_A,e02270,20241219,sample,125,2022,7,13,Aleutian Islands,179.092,51.22242,53.6
e02271_A,e02271,20241219,sample,125,2022,7,13,Aleutian Islands,179.092,51.22242,53.6
e02272_A,e02272,20241219,sample,125,2022,7,13,Aleutian Islands,179.092,51.22242,53.6
e02273_A,e02273,20241219,sample,125,2022,7,13,Aleutian Islands,179.092,51.22242,53.6
e02274_A,e02274,20241219,sample,125,2022,7,13,Aleutian Islands,179.092,51.22242,53.6
e02275_A,e02275,20241219,sample,125,2022,7,13,Aleutian Islands,179.092,51.22242,53.6
e02276_A,e02276,20241219,sample,125,2022,7,13,Aleutian Islands,179.092,51.22242,53.6
e02277_A,e02277,20241219,sample,125,2022,7,13,Aleutian Islands,179.092,51.22242,53.6
e02278_A,e02278,20241219,field_blank,125 C,2022,7,13,Aleutian Islands,179.092,51.22242,53.6
e02279_A,e02279,20241219,sample,138,2022,7,16,Aleutian Islands,178.2822,51.55123,90
e02280_A,e02280,20241219,sample,138,2022,7,16,Aleutian Islands,178.2822,51.55123,90
e02281_A,e02281,20241219,sample,138,2022,7,16,Aleutian Islands,178.2822,51.55123,90
e02282_A,e02282,20241219,sample,138,2022,7,16,Aleutian Islands,178.2822,51.55123,90
e02283_A,e02283,20241219,sample,138,2022,7,16,Aleutian Islands,178.2822,51.55123,90
e02284_A,e02284,20241219,sample,138,2022,7,16,Aleutian Islands,178.2822,51.55123,90
e02285_A,e02285,20241219,sample,138,2022,7,16,Aleutian Islands,178.2822,51.55123,90
e02286_A,e02286,20241219,sample,138,2022,7,16,Aleutian Islands,178.2822,51.55123,90
e02287_A,e02287,20241219,field_blank,138 C,2022,7,16,Aleutian Islands,178.2822,51.55123,90
e02288_A,e02288,20241219,extraction_blank,,,,,,,,
e02289_A,e02289,20241219,sample,92,2022,7,3,Aleutian Islands,-173.525,51.57386,85
e02290_A,e02290,20241219,sample,92,2022,7,3,Aleutian Islands,-173.525,51.57386,85
e02291_A,e02291,20241219,sample,92,2022,7,3,Aleutian Islands,-173.525,51.57386,85
e02292_A,e02292,20241219,sample,92,2022,7,3,Aleutian Islands,-173.525,51.57386,85
e02293_A,e02293,20241219,sample,92,2022,7,3,Aleutian Islands,-173.525,51.57386,85
e02294_A,e02294,20241219,sample,92,2022,7,3,Aleutian Islands,-173.525,51.57386,85
e02295_A,e02295,20241219,sample,92,2022,7,3,Aleutian Islands,-173.525,51.57386,85
e02296_A,e02296,20241219,sample,92,2022,7,3,Aleutian Islands,-173.525,51.57386,85
NC22-1_A,NC22-1,20241219,pcr_blank,NA,NA,NA,NA,NA,NA,NA,NA
e02297_A,e02297,20241219,field_blank,92 C,2022,7,3,Aleutian Islands,-173.525,51.57386,85
e02298_A,e02298,20241219,sample,99,2022,7,5,Aleutian Islands,-177.0133,51.54838,92
e02299_A,e02299,20241219,sample,99,2022,7,5,Aleutian Islands,-177.0133,51.54838,92
e02300_A,e02300,20241219,sample,99,2022,7,5,Aleutian Islands,-177.0133,51.54838,92
e02301_A,e02301,20241219,sample,99,2022,7,5,Aleutian Islands,-177.0133,51.54838,92
e02302_A,e02302,20241219,sample,99,2022,7,5,Aleutian Islands,-177.0133,51.54838,92
e02303_A,e02303,20241219,sample,99,2022,7,5,Aleutian Islands,-177.0133,51.54838,92
e02304_A,e02304,20241219,sample,99,2022,7,5,Aleutian Islands,-177.0133,51.54838,92
e02305_A,e02305,20241219,sample,99,2022,7,5,Aleutian Islands,-177.0133,51.54838,92
e02306_A,e02306,20241219,field_blank,99 C,2022,7,5,Aleutian Islands,-177.0133,51.54838,92
e02307_A,e02307,20241219,extraction_blank,,,,,,,,
e02308_A,e02308,20241219,sample,107,2022,7,7,Aleutian Islands,-175.4014,51.55597,92.5
e02309_A,e02309,20241219,sample,107,2022,7,7,Aleutian Islands,-175.4014,51.55597,92.5
e02310_A,e02310,20241219,sample,107,2022,7,7,Aleutian Islands,-175.4014,51.55597,92.5
e02311_A,e02311,20241219,sample,107,2022,7,7,Aleutian Islands,-175.4014,51.55597,92.5
e02312_A,e02312,20241219,sample,107,2022,7,7,Aleutian Islands,-175.4014,51.55597,92.5
e02313_A,e02313,20241219,sample,107,2022,7,7,Aleutian Islands,-175.4014,51.55597,92.5
e02314_A,e02314,20241219,sample,107,2022,7,7,Aleutian Islands,-175.4014,51.55597,92.5
e02315_A,e02315,20241219,sample,107,2022,7,7,Aleutian Islands,-175.4014,51.55597,92.5
e02316_A,e02316,20241219,field_blank,107 C,2022,7,7,Aleutian Islands,-175.4014,51.55597,92.5
e02317_A,e02317,20241219,sample,95,2022,7,4,Aleutian Islands,-173.4144,51.58176,95
e02318_A,e02318,20241219,sample,95,2022,7,4,Aleutian Islands,-173.4144,51.58176,95
e02319_A,e02319,20241219,sample,95,2022,7,4,Aleutian Islands,-173.4144,51.58176,95
e02320_A,e02320,20241219,sample,95,2022,7,4,Aleutian Islands,-173.4144,51.58176,95
e02321_A,e02321,20241219,sample,95,2022,7,4,Aleutian Islands,-173.4144,51.58176,95
e02322_A,e02322,20241219,sample,95,2022,7,4,Aleutian Islands,-173.4144,51.58176,95
e02323_A,e02323,20241219,sample,95,2022,7,4,Aleutian Islands,-173.4144,51.58176,95
e02324_A,e02324,20241219,sample,95,2022,7,4,Aleutian Islands,-173.4144,51.58176,95
e02325_A,e02325,20241219,field_blank,95 C,2022,7,4,Aleutian Islands,-173.4144,51.58176,95
e02326_A,e02326,20241219,extraction_blank,,,,,,,,
e02327_A,e02327,20241219,sample,114,2022,7,10,Aleutian Islands,-177.5099,51.37355,92
e02328_A,e02328,20241219,sample,114,2022,7,10,Aleutian Islands,-177.5099,51.37355,92
e02329_A,e02329,20241219,sample,114,2022,7,10,Aleutian Islands,-177.5099,51.37355,92
e02330_A,e02330,20241219,sample,114,2022,7,10,Aleutian Islands,-177.5099,51.37355,92
e02331_A,e02331,20241219,sample,114,2022,7,10,Aleutian Islands,-177.5099,51.37355,92
e02332_A,e02332,20241219,sample,114,2022,7,10,Aleutian Islands,-177.5099,51.37355,92
e02333_A,e02333,20241219,sample,114,2022,7,10,Aleutian Islands,-177.5099,51.37355,92
e02334_A,e02334,20241219,sample,114,2022,7,10,Aleutian Islands,-177.5099,51.37355,92
e02335_A,e02335,20241219,field_blank,114 C,2022,7,10,Aleutian Islands,-177.5099,51.37355,92
e02336_A,e02336,20241219,sample,120,2022,7,12,Aleutian Islands,-178.0768,51.44577,44.3
e02337_A,e02337,20241219,sample,120,2022,7,12,Aleutian Islands,-178.0768,51.44577,44.3
e02338_A,e02338,20241219,sample,120,2022,7,12,Aleutian Islands,-178.0768,51.44577,44.3
e02339_A,e02339,20241219,sample,120,2022,7,12,Aleutian Islands,-178.0768,51.44577,44.3
e02340_A,e02340,20241219,sample,120,2022,7,12,Aleutian Islands,-178.0768,51.44577,44.3
e02341_A,e02341,20241219,sample,120,2022,7,12,Aleutian Islands,-178.0768,51.44577,44.3
e02342_A,e02342,20241219,sample,120,2022,7,12,Aleutian Islands,-178.0768,51.44577,44.3
PC22_A,PC22,20241219,positive,,,,,,,,
NC22-2_A,NC22-2,20241219,pcr_blank,,,,,,,,
