"","qseqid","species","genus","family","order","class","phylum","kingdom","seq_percID","top_perc","diff","taxonomic_level","taxon"
"1","ASV13","Sebastes ciliatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.387,99.387,0,"genus","Sebates_cpv"
"2","ASV13","Sebastes polyspinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.387,99.387,0,"genus","Sebates_cpv"
"3","ASV13","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.387,99.387,0,"genus","Sebates_cpv"
"4","ASV20","Sebastes polyspinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.387,99.387,0,"genus","Sebates_pv"
"5","ASV20","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.387,99.387,0,"genus","Sebates_pv"
"6","ASV25","Sebastes polyspinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.387,99.387,0,"genus","Sebates_pv"
"7","ASV25","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.387,99.387,0,"genus","Sebates_pv"
"8","ASV39","Sebastes polyspinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.387,99.387,0,"genus","Sebates_pv"
"9","ASV39","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.387,99.387,0,"genus","Sebates_pv"
"10","ASV42","Sebastes polyspinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.773,98.773,0,"genus","Sebates_pv"
"11","ASV42","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.773,98.773,0,"genus","Sebates_pv"
"12","ASV43","Sebastes polyspinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.387,99.387,0,"genus","Sebates_pv"
"13","ASV43","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.387,99.387,0,"genus","Sebates_pv"
"14","ASV66","Sebastes entomelas","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.394,0,"genus","Sebates_em"
"15","ASV66","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.394,0,"genus","Sebates_em"
"16","ASV67","Sebastes ciliatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.773,98.773,0,"genus","Sebates_cpv"
"17","ASV67","Sebastes polyspinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.773,98.773,0,"genus","Sebates_cpv"
"18","ASV67","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.773,98.773,0,"genus","Sebates_cpv"
"19","ASV69","Sebastes polyspinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.387,99.387,0,"genus","Sebates_pv"
"20","ASV69","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.387,99.387,0,"genus","Sebates_pv"
"21","ASV71","Sebastes polyspinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.16,98.16,0,"genus","Sebates_pv"
"22","ASV71","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.16,98.16,0,"genus","Sebates_pv"
"23","ASV87","Sebastes polyspinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.773,98.773,0,"genus","Sebates_pv"
"24","ASV87","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.773,98.773,0,"genus","Sebates_pv"
"25","ASV1","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes aleutianus"
"26","ASV10","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.39,99.39,0,"species","Sebastes variabilis"
"27","ASV11","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes melanops"
"28","ASV14","Sebastes entomelas","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes entomelas"
"29","ASV15","Sebastes entomelas","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes entomelas"
"30","ASV16","Sebastes mystinus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.394,0,"species","Sebastes mystinus"
"31","ASV17","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes flavidus"
"32","ASV18","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes melanops"
"33","ASV19","Sebastes caurinus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.788,98.788,0,"species","Sebastes caurinus"
"34","ASV2","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes variabilis"
"35","ASV21","Sebastes caurinus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.394,0,"species","Sebastes caurinus"
"36","ASV22","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.39,99.39,0,"species","Sebastes alutus"
"37","ASV23","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.394,0,"species","Sebastes flavidus"
"38","ASV27","Sebastes maliger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.788,98.788,0,"species","Sebastes maliger"
"39","ASV28","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.39,99.39,0,"species","Sebastes variabilis"
"40","ASV29","Sebastes mystinus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes mystinus"
"41","ASV3","Sebastes miniatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes miniatus"
"42","ASV30","Sebastes melanostictus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.78,98.78,0,"species","Sebastes melanostictus"
"43","ASV31","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.788,98.788,0,"species","Sebastes melanops"
"44","ASV33","Sebastes caurinus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.788,98.788,0,"species","Sebastes caurinus"
"45","ASV34","Sebastes entomelas","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.788,98.788,0,"species","Sebastes entomelas"
"46","ASV35","Sebastes pinniger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes pinniger"
"47","ASV36","Sebastes maliger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.788,98.788,0,"species","Sebastes maliger"
"48","ASV37","Sebastes mystinus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.394,0,"species","Sebastes mystinus"
"49","ASV4","Sebastes maliger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes maliger"
"50","ASV40","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes aleutianus"
"51","ASV41","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.788,98.788,0,"species","Sebastes flavidus"
"52","ASV44","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes alutus"
"53","ASV45","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes melanops"
"54","ASV46","Sebastes caurinus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.394,0,"species","Sebastes caurinus"
"55","ASV48","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.394,0,"species","Sebastes melanops"
"56","ASV49","Sebastes melanostictus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.39,99.39,0,"species","Sebastes melanostictus"
"57","ASV5","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes alutus"
"58","ASV50","Sebastes entomelas","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes entomelas"
"59","ASV51","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.394,0,"species","Sebastes melanops"
"60","ASV52","Sebastes mystinus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.394,0,"species","Sebastes mystinus"
"61","ASV54","Sebastes melanostictus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes melanostictus"
"62","ASV56","Sebastes entomelas","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.394,0,"species","Sebastes entomelas"
"63","ASV57","Sebastes melanostictus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.39,99.39,0,"species","Sebastes melanostictus"
"64","ASV58","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.788,98.788,0,"species","Sebastes babcocki"
"65","ASV59","Sebastes borealis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes borealis"
"66","ASV6","Sebastes maliger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.394,0,"species","Sebastes maliger"
"67","ASV60","Sebastes caurinus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes caurinus"
"68","ASV61","Sebastes maliger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes maliger"
"69","ASV63","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes alutus"
"70","ASV64","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.39,99.39,0,"species","Sebastes aleutianus"
"71","ASV65","Sebastes borealis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.39,99.39,0,"species","Sebastes borealis"
"72","ASV7","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes flavidus"
"73","ASV72","Sebastes entomelas","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.788,98.788,0,"species","Sebastes entomelas"
"74","ASV73","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes babcocki"
"75","ASV76","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.394,0,"species","Sebastes melanops"
"76","ASV77","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.788,98.788,0,"species","Sebastes babcocki"
"77","ASV78","Sebastes mystinus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes mystinus"
"78","ASV79","Sebastes maliger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.394,0,"species","Sebastes maliger"
"79","ASV80","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.39,99.39,0,"species","Sebastes alutus"
"80","ASV85","Sebastes proriger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Sebastes proriger"
"81","ASV86","Sebastes mystinus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.394,0,"species","Sebastes mystinus"
"82","ASV9","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.39,99.39,0,"species","Sebastes alutus"
"83","ASV8","Sebastes miniatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,"species","Sebastes miniatus"
"84","ASV12","Sebastes ciliatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,"species","Sebastes ciliatus"
"85","ASV24","Sebastes ciliatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,"species","Sebastes ciliatus"
"86","ASV32","Sebastes paucispinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,"species","Sebastes paucispinis"
"87","ASV38","Sebastes mystinus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,"species","Sebastes mystinus"
"88","ASV53","Sebastes chrysomelas","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,"species","Sebastes chrysomelas"
"89","ASV70","Sebastes carnatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,"species","Sebastes carnatus"
"90","ASV81","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,"species","Sebastes variabilis"
"91","ASV83","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,"species","Sebastes babcocki"
"92","ASV84","Sebastes elongatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,"species","Sebastes elongatus"
