"Sample_ID","community","tech_rep","taxon","nReads","Cycles","start_conc_ng"
"all_even_A","all_even","A","Sebastes aleutianus",802,35,197
"all_even_A","all_even","A","Sebastes alutus",845.720908924317,35,199
"all_even_A","all_even","A","Sebastes babcocki",936,35,195
"all_even_A","all_even","A","Sebastes borealis",900,35,195
"all_even_A","all_even","A","Sebastes brevispinis",1393,35,209
"all_even_A","all_even","A","Sebastes ciliatus",850,35,192
"all_even_A","all_even","A","Sebastes helvomaculatus",1829,35,199
"all_even_A","all_even","A","Sebastes maliger",500,35,202
"all_even_A","all_even","A","Sebastes melanops",180,35,190
"all_even_A","all_even","A","Sebastes melanostictus",878,35,184
"all_even_A","all_even","A","Sebastes nebulosus",68,35,182
"all_even_A","all_even","A","Sebastes nigrocinctus",2119,35,193
"all_even_A","all_even","A","Sebastes pinniger",916,35,209
"all_even_A","all_even","A","Sebastes polyspinis",1390.66904892798,35,180
"all_even_A","all_even","A","Sebastes proriger",937,35,191
"all_even_A","all_even","A","Sebastes reedi",58,35,0
"all_even_A","all_even","A","Sebastes variabilis",927,35,197
"all_even_A","all_even","A","Sebastes variegatus",204,35,194
"all_even_A","all_even","A","Sebastes zacentrus",323,35,179
"all_even_B","all_even","B","Sebastes aleutianus",1559,35,197
"all_even_B","all_even","B","Sebastes alutus",1309.39939527213,35,199
"all_even_B","all_even","B","Sebastes babcocki",1075,35,195
"all_even_B","all_even","B","Sebastes borealis",1625,35,195
"all_even_B","all_even","B","Sebastes brevispinis",2109,35,209
"all_even_B","all_even","B","Sebastes ciliatus",1586,35,192
"all_even_B","all_even","B","Sebastes helvomaculatus",2382,35,199
"all_even_B","all_even","B","Sebastes maliger",567,35,202
"all_even_B","all_even","B","Sebastes melanops",223,35,190
"all_even_B","all_even","B","Sebastes melanostictus",1676,35,184
"all_even_B","all_even","B","Sebastes nebulosus",88,35,182
"all_even_B","all_even","B","Sebastes nigrocinctus",2495,35,193
"all_even_B","all_even","B","Sebastes pinniger",1199,35,209
"all_even_B","all_even","B","Sebastes polyspinis",2802.14760857614,35,180
"all_even_B","all_even","B","Sebastes proriger",1782,35,191
"all_even_B","all_even","B","Sebastes reedi",120,35,0
"all_even_B","all_even","B","Sebastes variabilis",1799,35,197
"all_even_B","all_even","B","Sebastes variegatus",238,35,194
"all_even_B","all_even","B","Sebastes zacentrus",481,35,179
"all_even_C","all_even","C","Sebastes aleutianus",1248,35,197
"all_even_C","all_even","C","Sebastes alutus",1142.27350192413,35,199
"all_even_C","all_even","C","Sebastes babcocki",751,35,195
"all_even_C","all_even","C","Sebastes borealis",1401,35,195
"all_even_C","all_even","C","Sebastes brevispinis",1364,35,209
"all_even_C","all_even","C","Sebastes ciliatus",1381,35,192
"all_even_C","all_even","C","Sebastes elongatus",1,35,0
"all_even_C","all_even","C","Sebastes helvomaculatus",1957,35,199
"all_even_C","all_even","C","Sebastes maliger",413,35,202
"all_even_C","all_even","C","Sebastes melanops",155,35,190
"all_even_C","all_even","C","Sebastes melanostictus",1322,35,184
"all_even_C","all_even","C","Sebastes nebulosus",97,35,182
"all_even_C","all_even","C","Sebastes nigrocinctus",1914,35,193
"all_even_C","all_even","C","Sebastes pinniger",851,35,209
"all_even_C","all_even","C","Sebastes polyspinis",2213.4224848818,35,180
"all_even_C","all_even","C","Sebastes proriger",1406,35,191
"all_even_C","all_even","C","Sebastes reedi",103,35,0
"all_even_C","all_even","C","Sebastes variabilis",1549,35,197
"all_even_C","all_even","C","Sebastes variegatus",212,35,194
"all_even_C","all_even","C","Sebastes zacentrus",486,35,179
"ns_even_A","nearshore_even","A","Sebastes maliger",2126,35,202
"ns_even_A","nearshore_even","A","Sebastes melanops",645,35,190
"ns_even_A","nearshore_even","A","Sebastes nebulosus",393,35,182
"ns_even_A","nearshore_even","A","Sebastes nigrocinctus",9286,35,193
"ns_even_A","nearshore_even","A","Sebastes pinniger",4206,35,209
"ns_even_A","nearshore_even","A","Sebastes polyspinis",28,35,0
"ns_even_A","nearshore_even","A","Sebastes ruberrimus",1,35,216
"ns_even_B","nearshore_even","B","Sebastes maliger",3065,35,202
"ns_even_B","nearshore_even","B","Sebastes melanops",994,35,190
"ns_even_B","nearshore_even","B","Sebastes nebulosus",601,35,182
"ns_even_B","nearshore_even","B","Sebastes nigrocinctus",12157,35,193
"ns_even_B","nearshore_even","B","Sebastes pinniger",6112,35,209
"ns_even_C","nearshore_even","C","Sebastes aleutianus",13,35,0
"ns_even_C","nearshore_even","C","Sebastes maliger",2622,35,202
"ns_even_C","nearshore_even","C","Sebastes melanops",995,35,190
"ns_even_C","nearshore_even","C","Sebastes nebulosus",623,35,182
"ns_even_C","nearshore_even","C","Sebastes nigrocinctus",9548,35,193
"ns_even_C","nearshore_even","C","Sebastes pinniger",5172,35,209
"ns_even_C","nearshore_even","C","Sebastes ruberrimus",8,35,216
"ns_even_C","nearshore_even","C","Sebastes zacentrus",2,35,0
"os_even_A","offshore_even","A","Sebastes aleutianus",2152,35,197
"os_even_A","offshore_even","A","Sebastes alutus",1892.40516767455,35,199
"os_even_A","offshore_even","A","Sebastes babcocki",1401,35,195
"os_even_A","offshore_even","A","Sebastes borealis",2350,35,195
"os_even_A","offshore_even","A","Sebastes brevispinis",2613,35,209
"os_even_A","offshore_even","A","Sebastes ciliatus",2328,35,192
"os_even_A","offshore_even","A","Sebastes helvomaculatus",3662,35,199
"os_even_A","offshore_even","A","Sebastes melanops",3,35,0
"os_even_A","offshore_even","A","Sebastes melanostictus",2111,35,184
"os_even_A","offshore_even","A","Sebastes polyspinis",4118.10225398571,35,180
"os_even_A","offshore_even","A","Sebastes proriger",2407,35,191
"os_even_A","offshore_even","A","Sebastes reedi",142,35,0
"os_even_A","offshore_even","A","Sebastes variabilis",2570,35,197
"os_even_A","offshore_even","A","Sebastes variegatus",309,35,194
"os_even_A","offshore_even","A","Sebastes zacentrus",725,35,179
"os_even_B","offshore_even","B","Sebastes aleutianus",2357,35,197
"os_even_B","offshore_even","B","Sebastes alutus",1919.77331867326,35,199
"os_even_B","offshore_even","B","Sebastes babcocki",1228,35,195
"os_even_B","offshore_even","B","Sebastes borealis",2456,35,195
"os_even_B","offshore_even","B","Sebastes brevispinis",2419,35,209
"os_even_B","offshore_even","B","Sebastes ciliatus",2486,35,192
"os_even_B","offshore_even","B","Sebastes elongatus",5,35,0
"os_even_B","offshore_even","B","Sebastes helvomaculatus",3383,35,199
"os_even_B","offshore_even","B","Sebastes melanostictus",2328,35,184
"os_even_B","offshore_even","B","Sebastes nigrocinctus",2,35,0
"os_even_B","offshore_even","B","Sebastes pinniger",6,35,0
"os_even_B","offshore_even","B","Sebastes polyspinis",4213.87630566245,35,180
"os_even_B","offshore_even","B","Sebastes proriger",2572,35,191
"os_even_B","offshore_even","B","Sebastes reedi",171,35,0
"os_even_B","offshore_even","B","Sebastes variabilis",2485,35,197
"os_even_B","offshore_even","B","Sebastes variegatus",319,35,194
"os_even_B","offshore_even","B","Sebastes zacentrus",705,35,179
"os_even_C","offshore_even","C","Sebastes aleutianus",2226,35,197
"os_even_C","offshore_even","C","Sebastes alutus",2098.03967381345,35,199
"os_even_C","offshore_even","C","Sebastes babcocki",1296,35,195
"os_even_C","offshore_even","C","Sebastes borealis",2377,35,195
"os_even_C","offshore_even","C","Sebastes brevispinis",2575,35,209
"os_even_C","offshore_even","C","Sebastes ciliatus",2583,35,192
"os_even_C","offshore_even","C","Sebastes helvomaculatus",3290,35,199
"os_even_C","offshore_even","C","Sebastes melanops",8,35,0
"os_even_C","offshore_even","C","Sebastes melanostictus",2333,35,184
"os_even_C","offshore_even","C","Sebastes polyspinis",4247.49780098955,35,180
"os_even_C","offshore_even","C","Sebastes proriger",2582,35,191
"os_even_C","offshore_even","C","Sebastes reedi",153,35,0
"os_even_C","offshore_even","C","Sebastes variabilis",2639,35,197
"os_even_C","offshore_even","C","Sebastes variegatus",391,35,194
"os_even_C","offshore_even","C","Sebastes zacentrus",713,35,179
"os_skew_A","offshore_skew","A","Sebastes aleutianus",2031,35,591
"os_skew_A","offshore_skew","A","Sebastes alutus",3176.94649074583,35,995
"os_skew_A","offshore_skew","A","Sebastes babcocki",360,35,195
"os_skew_A","offshore_skew","A","Sebastes borealis",1357,35,390
"os_skew_A","offshore_skew","A","Sebastes brevispinis",786,35,209
"os_skew_A","offshore_skew","A","Sebastes ciliatus",754,35,192
"os_skew_A","offshore_skew","A","Sebastes elongatus",4,35,0
"os_skew_A","offshore_skew","A","Sebastes helvomaculatus",979,35,199
"os_skew_A","offshore_skew","A","Sebastes melanops",2,35,0
"os_skew_A","offshore_skew","A","Sebastes melanostictus",3364,35,920
"os_skew_A","offshore_skew","A","Sebastes polyspinis",5207,35,900
"os_skew_A","offshore_skew","A","Sebastes proriger",704,35,191
"os_skew_A","offshore_skew","A","Sebastes reedi",108,35,0
"os_skew_A","offshore_skew","A","Sebastes variabilis",767,35,197
"os_skew_A","offshore_skew","A","Sebastes variegatus",79,35,194
"os_skew_A","offshore_skew","A","Sebastes zacentrus",192,35,179
"os_skew_B","offshore_skew","B","Sebastes aleutianus",3358,35,591
"os_skew_B","offshore_skew","B","Sebastes alutus",5057.3415796225,35,995
"os_skew_B","offshore_skew","B","Sebastes babcocki",755,35,195
"os_skew_B","offshore_skew","B","Sebastes borealis",2422,35,390
"os_skew_B","offshore_skew","B","Sebastes brevispinis",1466,35,209
"os_skew_B","offshore_skew","B","Sebastes ciliatus",1211,35,192
"os_skew_B","offshore_skew","B","Sebastes helvomaculatus",1754,35,199
"os_skew_B","offshore_skew","B","Sebastes melanostictus",5535,35,920
"os_skew_B","offshore_skew","B","Sebastes polyspinis",8935,35,900
"os_skew_B","offshore_skew","B","Sebastes proriger",1230,35,191
"os_skew_B","offshore_skew","B","Sebastes reedi",112,35,0
"os_skew_B","offshore_skew","B","Sebastes variabilis",1264,35,197
"os_skew_B","offshore_skew","B","Sebastes variegatus",184,35,194
"os_skew_B","offshore_skew","B","Sebastes zacentrus",375,35,179
"os_skew_C","offshore_skew","C","Sebastes aleutianus",1747,35,591
"os_skew_C","offshore_skew","C","Sebastes alutus",2766.35101704233,35,995
"os_skew_C","offshore_skew","C","Sebastes babcocki",329,35,195
"os_skew_C","offshore_skew","C","Sebastes borealis",1359,35,390
"os_skew_C","offshore_skew","C","Sebastes brevispinis",743,35,209
"os_skew_C","offshore_skew","C","Sebastes ciliatus",681,35,192
"os_skew_C","offshore_skew","C","Sebastes helvomaculatus",766,35,199
"os_skew_C","offshore_skew","C","Sebastes melanostictus",3104,35,920
"os_skew_C","offshore_skew","C","Sebastes polyspinis",4950,35,900
"os_skew_C","offshore_skew","C","Sebastes proriger",677,35,191
"os_skew_C","offshore_skew","C","Sebastes reedi",96,35,0
"os_skew_C","offshore_skew","C","Sebastes variabilis",645,35,197
"os_skew_C","offshore_skew","C","Sebastes variegatus",87,35,194
"os_skew_C","offshore_skew","C","Sebastes zacentrus",184,35,179
